Default Report,,,,,,,
Last Modified: 2019-01-13 18:40:49 MST,,,,,,,
,,,,,,,
,,,,,,,
Q1 - Are you currently employed as a registered nurse?,,,,,,,
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you currently employed as a registered nurse?,1,2,1.04,0.19,0.04,26
,,,,,,,
#,Answer,%,Count,,,,
1,Yes,96.15%,25,,,,
2,No,3.85%,1,,,,
,Total,100%,26,,,,
,,,,,,,
Q2 - How many YEARS have you been practicing as a registered nurse?,,,,,,,
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How many YEARS have you been practicing as a registered nurse?,1,9,2.87,2.45,6.03,23
,,,,,,,
#,Answer,%,Count,,,,
1,< 1,56.52%,13,,,,
2,1,0.00%,0,,,,
3,2,8.70%,2,,,,
4,3,4.35%,1,,,,
5,4,17.39%,4,,,,
6,5,4.35%,1,,,,
7,6,0.00%,0,,,,
8,7,4.35%,1,,,,
9,> 7,4.35%,1,,,,
,Total,100%,23,,,,
,,,,,,,
Q3 - Do you provide direct care to patients for more than 50% of your work shift?,,,,,,,
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Do you provide direct care to patients for more than 50% of your work shift?,1,2,1.04,0.2,0.04,25
,,,,,,,
#,Answer,%,Count,,,,
1,Yes,96.00%,24,,,,
2,No,4.00%,1,,,,
,Total,100%,25,,,,
,,,,,,,
Q4 - Does your employer provide you with clean scrubs/uniforms every shift or do you launder them yourself?,,,,,,,
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Does your employer provide you with clean scrubs/uniforms every shift or do you launder them yourself?,1,3,2.88,0.44,0.19,24
,,,,,,,
#,Answer,%,Count,,,,
1,My employer provides me with clean scrubs/uniforms every shift,4.17%,1,,,,
2,I sometimes need to launder my scrubs/uniforms,4.17%,1,,,,
3,I always launder my scrubs/uniforms,91.67%,22,,,,
,Total,100%,24,,,,
,,,,,,,
Q6 - In what type of clinical setting do you currently work as an RN? ,,,,,,,
,,,,,,,
Please choose the answer that best describes your setting.,,,,,,,
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
