Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape,Revised rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate,Revised rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1990,249464396 ,1820127            ,23438                               ,102555     ,            ,639271 ,1054863           ,12655486            ,3073909 ,7945670      ,1635907            ,729.6             ,9.4                                      ,41.1            ,                 ,256.3       ,422.9                  ,5073.1             ,1232.2       ,3185.1            ,655.8
1991,252153092 ,1911767            ,24703                               ,106593     ,            ,687732 ,1092739           ,12961116            ,3157150 ,8142228      ,1661738            ,758.2             ,9.8                                      ,42.3            ,                 ,272.7       ,433.4                  ,5140.2             ,1252.1       ,3229.1            ,659.0
1992,255029699 ,1932274            ,23760                               ,109062     ,            ,672478 ,1126974           ,12505917            ,2979884 ,7915199      ,1610834            ,757.7             ,9.3                                      ,42.8            ,                 ,263.7       ,441.9                  ,4903.7             ,1168.4       ,3103.6            ,631.6
1993,257782608 ,1926017            ,24526                               ,106014     ,            ,659870 ,1135607           ,12218777            ,2834808 ,7820909      ,1563060            ,747.1             ,9.5                                      ,41.1            ,                 ,256.0       ,440.5                  ,4740.0             ,1099.7       ,3033.9            ,606.3
1994,260327021 ,1857670            ,23326                               ,102216     ,            ,618949 ,1113179           ,12131873            ,2712774 ,7879812      ,1539287            ,713.6             ,9.0                                      ,39.3            ,                 ,237.8       ,427.6                  ,4660.2             ,1042.1       ,3026.9            ,591.3
1995,262803276 ,1798792            ,21606                               ,97470      ,            ,580509 ,1099207           ,12063935            ,2593784 ,7997710      ,1472441            ,684.5             ,8.2                                      ,37.1            ,                 ,220.9       ,418.3                  ,4590.5             ,987.0        ,3043.2            ,560.3
1996,265228572 ,1688540            ,19645                               ,96252      ,            ,535594 ,1037049           ,11805323            ,2506400 ,7904685      ,1394238            ,636.6             ,7.4                                      ,36.3            ,                 ,201.9       ,391.0                  ,4451.0             ,945.0        ,2980.3            ,525.7
1997,267783607 ,1636096            ,18208                               ,96153      ,            ,498534 ,1023201           ,11558475            ,2460526 ,7743760      ,1354189            ,611.0             ,6.8                                      ,35.9            ,                 ,186.2       ,382.1                  ,4316.3             ,918.8        ,2891.8            ,505.7
1998,270248003 ,1533887            ,16974                               ,93144      ,            ,447186 ,976583            ,10951827            ,2332735 ,7376311      ,1242781            ,567.6             ,6.3                                      ,34.5            ,                 ,165.5       ,361.4                  ,4052.5             ,863.2        ,2729.5            ,459.9
1999,272690813 ,1426044            ,15522                               ,89411      ,            ,409371 ,911740            ,10208334            ,2100739 ,6955520      ,1152075            ,523.0             ,5.7                                      ,32.8            ,                 ,150.1       ,334.3                  ,3743.6             ,770.4        ,2550.7            ,422.5
2000,281421906 ,1425486            ,15586                               ,90178      ,            ,408016 ,911706            ,10182584            ,2050992 ,6971590      ,1160002            ,506.5             ,5.5                                      ,32.0            ,                 ,145.0       ,324.0                  ,3618.3             ,728.8        ,2477.3            ,412.2
2001,285317559 ,1439480            ,16037                               ,90863      ,            ,423557 ,909023            ,10437189            ,2116531 ,7092267      ,1228391            ,504.5             ,5.6                                      ,31.8            ,                 ,148.5       ,318.6                  ,3658.1             ,741.8        ,2485.7            ,430.5
2002,287973924 ,1423677            ,16229                               ,95235      ,            ,420806 ,891407            ,10455277            ,2151252 ,7057379      ,1246646            ,494.4             ,5.6                                      ,33.1            ,                 ,146.1       ,309.5                  ,3630.6             ,747.0        ,2450.7            ,432.9
2003,290788976 ,1383676            ,16528                               ,93883      ,            ,414235 ,859030            ,10442862            ,2154834 ,7026802      ,1261226            ,475.8             ,5.7                                      ,32.3            ,                 ,142.5       ,295.4                  ,3591.2             ,741.0        ,2416.5            ,433.7
2004,293656842 ,1360088            ,16148                               ,95089      ,            ,401470 ,847381            ,10319386            ,2144446 ,6937089      ,1237851            ,463.2             ,5.5                                      ,32.4            ,                 ,136.7       ,288.6                  ,3514.1             ,730.3        ,2362.3            ,421.5
2005,296507061 ,1390745            ,16740                               ,94347      ,            ,417438 ,862220            ,10174754            ,2155448 ,6783447      ,1235859            ,469.0             ,5.6                                      ,31.8            ,                 ,140.8       ,290.8                  ,3431.5             ,726.9        ,2287.8            ,416.8
2006,299398484 ,1435123            ,17309                               ,94472      ,            ,449246 ,874096            ,10019601            ,2194993 ,6626363      ,1198245            ,479.3             ,5.8                                      ,31.6            ,                 ,150.0       ,292.0                  ,3346.6             ,733.1        ,2213.2            ,400.2
2007,301621157 ,1422970            ,17128                               ,92160      ,            ,447324 ,866358            ,9882212             ,2190198 ,6591542      ,1100472            ,471.8             ,5.7                                      ,30.6            ,                 ,148.3       ,287.2                  ,3276.4             ,726.1        ,2185.4            ,364.9
