Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,344.779999,352.000000,343.500000,346.049988,346.049988,4691700
2019-01-17,346.209991,351.500000,344.149994,347.309998,347.309998,3676700
2019-01-18,323.000000,327.130005,299.730011,302.260010,302.260010,24150800
2019-01-22,304.820007,308.000000,295.500000,298.920013,298.920013,12066700
2019-01-23,292.500000,294.500000,281.690002,287.589996,287.589996,12530000
2019-01-24,283.029999,293.679993,279.279999,291.510010,291.510010,8012200
2019-01-25,294.390015,298.519989,289.549988,297.040009,297.040009,7249600
2019-01-28,292.910004,297.459991,287.750000,296.380005,296.380005,6423300
2019-01-29,295.269989,298.559998,291.799988,297.459991,297.459991,4621700
2019-01-30,300.450012,309.000000,298.489990,308.769989,308.769989,11250300
2019-01-31,301.000000,311.559998,294.000000,307.019989,307.019989,12569200
2019-02-01,305.420013,316.100006,303.500000,312.209991,312.209991,7283400
2019-02-04,312.980011,315.299988,301.880005,312.890015,312.890015,7352100
2019-02-05,312.489990,322.440002,312.250000,321.350006,321.350006,6742800
2019-02-06,319.589996,324.239990,315.619995,317.220001,317.220001,5038500
2019-02-07,313.299988,314.700012,303.000000,307.510010,307.510010,6520600
2019-02-08,306.829987,307.450012,298.500000,305.799988,305.799988,5844200
2019-02-11,311.600006,318.600006,310.500000,312.839996,312.839996,7129700
2019-02-12,316.200012,318.190002,309.619995,311.809998,311.809998,5517600
2019-02-13,312.350006,312.750000,305.570007,308.170013,308.170013,5141600
2019-02-14,303.380005,306.769989,301.000000,303.769989,303.769989,5200800
2019-02-15,304.500000,308.000000,303.899994,307.880005,307.880005,3882100
